SurveyYear,Survey,SurveyQuarter,StaPlanned,StaValComp,DifSta,SurveyCov,DisruptorCat,Disruptor,DurationIfTemp,LocationIf Spat,Comment,NStaAff,SurveyCovAff,Reference,,,,,
2016,PT-PGFS,Q4,,,,,3,gear,NA,6 stations,,6,6,ICES (2017),,,,,
2017,NS-IBTS GER,Q1,,,,,1,oil/gas,NA,"recs 42F1, 42F2",large gas and oil development area limits sampling ability in these rectangles within British EEZ,2,2,ICES (2017),,,,,
2017,UK-SCOWGFS,Q1,64,62,2,97,2,seabed obstacle,NA,1 station,NA,1,2,ICES (2018),,,,,
2017,UK-SCOWGFS,Q4,60,55,5,92,3,weather,NA,NA,NA,NA,NA,ICES (2018),,,,,
2017,UK-SCOWGFS,Q4,,,,,2,fisheries,NA,4 stations in area 7b,"creel, specific stratum GY",4,7,ICES (2018),,,,,
2017,UK-NIGFS,Q4,63,58,5,92,3,weather,NA,NA,NA,NA,NA,ICES (2018),,,,,
2017,UK-NIGFS,Q4,,,,,2,fisheries,NA,1 station,NA,1,2,ICES (2018),,,,,
2017,IE-IAMS,Q1,110,109,1,99,3,gear,NA,1 station,NA,1,1,ICES (2018),,,,,
2017,IE-IGFS,Q4,171,149,22,87,2,legal,NA,NA,no permit to access UK EEZ,NA,NA,ICES (2018),,,,,
2017,FR-EVHOE,Q4,155,25,130,16,3,gear,NA,NA,survey cancelled after vessel breakdown,NA,NA,ICES (2018),,,,,
2017,PT-PGFS,Q4,96,89,7,93,3,weather,NA,6 stations,NA,6,6,ICES (2018),,,,,
2018,NS-IBTS GER,Q1,74,44,30,59,3,weather,NA,NA,NA,NA,NA,ICES (2018),,,,,
2018,NS-IBTS GER,Q1,,,,,1,oil/gas,NA,"recs 42F1, 42F2",,2,3,ICES (2018),,,,,
2018,NS-IBTS GER,Q1,,,,,1,marine conservation,NA,British EEZ,NA,NA,NA,ICES (2018),,,,,
2018,NS-IBTS GER,Q1,,,,,3,gear,3 days,NA,NA,NA,NA,ICES (2018),,,,,
2018,UK-SCOWGFS,Q4,60,56,4,93,3,weather,NA,NA,NA,NA,NA,ICES (2019),,,,,
2018,UK-NIGFS,Q4,62,60,2,97,2,fisheries,NA,2 stations,bc static gear,2,3,ICES (2019),,,,,
2018,IE-IGFS,Q4,171,153,18,89,3,weather,NA,NA,NA,NA,NA,ICES (2019),,,,,
2018,FR-EVHOE,Q4,155,153,2,99,3,gear,NA,NA,delay in campaign start,NA,NA,ICES (2019),,,,,
2018,PT-PGFS,Q4,96,48,48,50,3,weather,8 days,10 stations,NA,10,10,ICES (2019),,,,,
2018,PT-PGFS,Q4,,,,,3,gear,NA,NA,NA,NA,NA,ICES (2019),,,,,
2018,PT-PGFS,Q4,,,,,3,administration,NA,NA,staff contracts could not be extended,NA,NA,ICES (2019),,,,,
2019,SP-PORC,Q3,80,79,1,99,3,weather,NA,NA,NA,NA,NA,ICES (2020),,,,,
2019,IE-IGFS,Q4,171,161,10,94,3,weather,4 days,NA,extra effort in south to avoid data gaps of FR-EVHOE survey,NA,NA,ICES (2020),,,,,
2019,FR-EVHOE,Q4,155,149,6,96,3,staff,2 days,NA,social movement delayed survey,NA,NA,ICES (2020),,,,,
2019,FR-EVHOE,Q4,,,,,3,weather,2.5 days,NA,NA,NA,NA,ICES (2020),,,,,
2019,PT-PGFS,Q4,96,0,96,0,3,administration,NA,NA,survey cancelled due to domestic legal and bureaucratic constraints that resulted in the paralysis of research vessels and survey programme,NA,NA,ICES (2020),,,,,
2019,PT-PGFS,Q4,,,,,3,legal,NA,NA,survey cancelled due to domestic legal and bureaucratic constraints that resulted in the paralysis of research vessels and survey programme,NA,NA,ICES (2020),,,,,
2020,NS-IBTS INT,Q1,,,,,1,oil/gas,NA,NA,NA,NA,NA,ICES (2020),,,,,
2020,NS-IBTS INT,Q1,,,,,1,marine conservation,NA,NA,Nature areas,NA,NA,ICES (2020),,,,,
2020,NS-IBTS INT,Q1,,,,,2,legal,NA,NA,permit issues to UK waters contributed to many changes in sampling allocation by country (storms contributed as well) ,NA,NA,ICES (2020),,,,,
2020,NS-IBTS NED,Q1,57,47,10,82,3,gear,7 days,NA,NA,NA,NA,ICES (2020),,,,,
2020,NS-IBTS SWE,Q1,48,39,9,81,3,gear,NA,NA,delayed survey,NA,NA,ICES (2020),,,,,
2020,NS-IBTS DEN,Q1,46,34,12,74,3,gear,1 day,NA,NA,NA,NA,ICES (2020),,,,,
2020,NS-IBTS INT,Q3,,,,,1,oil/gas,NA,NA,unable to find full 30min tracks,NA,NA,ICES (2021),,,,,
2020,NS-IBTS INT,Q3,,,,,1,windfarm,NA,NA,unable to find full 30min tracks,NA,NA,ICES (2021),,,,,
2020,UK-SCOWGFS,Q1,62,57,5,92,3,weather,NA,NA,3 storms,NA,NA,ICES (2021),,,,,
2020,UK-SCOWGFS,Q1,,,,,3,gear,3 days,NA,NA,NA,NA,ICES (2021),,,,,
2020,IE-IAMS,Q1,115,92,23,80,3,pandemic,NA,NA,staff and sampling targets in 6a reduced,NA,NA,ICES (2021),,,,,
2020,IE-IAMS,Q1,,,,,3,weather,7 days,NA,NA,NA,NA,ICES (2021),,,,,
2020,IE-IAMS,Q1,,,,,3,gear,3 hours,NA,NA,NA,NA,ICES (2021),,,,,
2020,UK-SCOWGFS,Q4,62,56,6,90,3,weather,2 days,NA,NA,NA,NA,ICES (2021),,,,,
2020,UK-SCOWGFS,Q4,,,,,3,military,2 days,NA,to safely remove a hauled WW2 mine from deck ,NA,NA,ICES (2021),,,,,
2020,IE-IGFS,Q4,171,127,44,74,3,weather,9.5 days,NA,NA,NA,NA,ICES (2021),,,,,
2020,FR-CGFS,Q4,74,52,22,70,3,pandemic,NA,UK waters,"due to lockdown, they did not receive permit to enter UK waters ",NA,NA,ICES (2021),,,,,
2020,FR-EVHOE,Q4,,,,,1,marine conservation,NA,4 stations,4 stations relocated due to MPAs in UK waters,4,5,ICES (2021),,,,,
2020,PT-PGFS,Q4,96,6,90,6,3,administration,NA,NA,delayed survey start,NA,NA,ICES (2021),,,,,
2020,PT-PGFS,Q4,,,,,3,legal,NA,NA,delayed survey start,NA,NA,ICES (2021),,,,,
2020,PT-PGFS,Q4,,,,,3,pandemic,NA,NA,delayed survey start,NA,NA,ICES (2021),,,,,
2020,PT-PGFS,Q4,,,,,3,weather,NA,NA,delayed survey start,NA,NA,ICES (2021),,,,,
2021,NS-IBTS DEN,Q1,41,39,2,95,1,marine conservation,NA,"recs 38F1, 38F2",no dispensation for UK MPAs,2,5,ICES (2021),,,,,
2021,NS-IBTS INT,Q1/Q3,,,,,1,oil/gas,NA,NA,NA,NA,NA,ICES (2021),,,,,
2021,NS-IBTS INT,Q1/Q3,,,,,1,windfarm,NA,NA,NA,NA,NA,ICES (2021),,,,,
2021,NS-IBTS GER,Q1,32,26,6,81,3,gear,NA,NA,NA,NA,NA,ICES (2021),,,,,
2021,IE-IAMS,Q1/Q2,85,76,9,89,3,weather,6 days,NA,NA,NA,NA,ICES (2022),,,,,
2021,IE-IAMS,Q1/Q2,,,,,3,gear,8 hours,NA,NA,NA,NA,ICES (2022),,,,,
2021,UK-SCOWGFS,Q4,62,59,3,95,3,gear,NA,2 stations,NA,2,3,ICES (2022),,,,,
2021,UK-SCOWGFS,Q4,,,,,2,fisheries,NA,1 station,NA,1,2,ICES (2022),,,,,
2021,IE-IGFS,Q4,171,156,15,91,3,weather,NA,NA,storm Barra,NA,NA,ICES (2022),,,,,
2021,UK-NIGFS,Q4,74,66,8,89,2,fisheries,NA,2 stations,NA,2,3,ICES (2022),,,,,
2021,UK-NIGFS,Q4,,,,,3,gear,NA,4 stations,2 other stations clogged with brittle stars,4,5,ICES (2022),,,,,
2021,FR-EVHOE,Q4,,,,,1,marine conservation,NA,Celtic Sea,stations relocated,NA,NA,ICES (2022),,,,,
2021,FR-EVHOE,Q4,,,,,1,windfarm,NA,Celtic Sea,stations relocated,NA,NA,ICES (2022),,,,,
2022,NS-IBTS SCOT,Q1,57,14,43,25,3,gear,NA,NA,survey cancellation after 5 days,NA,NA,ICES (2022),,,,,
